key,es
2b.4,Actúa como catalizador entre los individuos del grupo
2b.5,Encuentra formas de integrar a las personas dominantes y tranquilas y se asegura de que todos los miembros del grupo puedan expresar sus opiniones.
2b.6,"Se asegura de que el grupo mantenga el tema, pero también sea flexible en el manejo de información adicional importante."
2b.7,Repite con sus propias palabras lo que dice la gente para confirmar que hay una buena comprensión de la discusión.
2b.8,Se encarga de la gestión del tiempo
p67,"Asistente del facilitador: Ayuda al facilitador principal, especialmente a mostrar ayudas visuales."
2b.9,Apoya al tomador de notas en la recopilación de toda la información relevante
2b.10,"Lidera la visualización de ayudas visuales y ayuda con otros componentes interactivos de la reunión, como contar votos, tomar notas que se muestran, repartir materiales, etc."
2b.11,Trae el material necesario
2b.12,"Ayuda al facilitador de manera indirecta dando señales (por ejemplo, señalando a quienes desean hablar)."
2b.13,"Apoya al facilitador directamente haciéndole preguntas, si la situación lo requiere."
p68,Tomador de notas: Documenta la reunión
2b.14,Observa el evento desde el fondo
2b.15,Captura todas las respuestas. Es útil tener impresa la lista de preguntas para que pueda anotarse con notas durante la reunión.
2b.16,Anota toda la información importante
2b.17,Anota quién está hablando. ¿Hay una participación equitativa de todos o algunas personas dominan el proceso? ¿Hablan las mujeres?
2c,Participantes de grupos focales
p69,"Planifique cuidadosamente a quién invitar a la reunión del grupo focal. Se recomienda identificar de 10 a 12 individuos para garantizar que el tamaño sea manejable, lo que permita una representación adecuada de las diferentes perspectivas. En la medida de lo posible, incluya representantes de diversos grupos de partes interesadas y sectores comunitarios (consulte ejemplos de tipos de partes interesadas en la sección anterior). Al seleccionar a los participantes, tenga en cuenta sus conocimientos y roles en la comunidad. Invitar a personas con más conocimientos sobre las pesquerías y la comunidad, como un pescador a tiempo completo en lugar de un pescador recreativo ocasional, proporcionará información más sólida y precisa. Identificar e invitar a personas que son muy respetadas en la comunidad ayuda a generar confianza."
2d,Discusión logística y metodología
p70,"Los datos se pueden capturar en el formulario de Kobo ""Encuesta de creación de perfiles de la comunidad"". Sin embargo, puede ser más fácil para el tomador de notas capturar los datos a través de notas escritas para capturar más fácilmente los matices y la información que surgen de la discusión grupal, como las respuestas diferentes por encuestado."
p71,"Si la información se recopila tomando notas. Una vez finalizada la reunión del grupo focal, las respuestas deben ingresarse en el formulario de Kobo ""Encuesta de creación de perfiles de la comunidad""."
p72,"Anime a todos los miembros del grupo a hablar, ya que representan una mezcla de edades y posiciones sociales que pueden tener diferentes experiencias de la pesquería."
p73,"Plantear preguntas una por una al grupo y esperar a que los voluntarios respondan es una forma de dirigir una discusión. Sin embargo, variar la forma en que el facilitador solicita respuestas puede ayudar a mantener la discusión interesante y también garantizar que se escuchen todas las voces y que los participantes menos vocales puedan participar. Antes de comenzar el grupo de enfoque, piense en cómo le gustaría obtener respuestas para cada pregunta planificada."
2d.1,Foro abierto: cualquiera puede responder a la pregunta y hablar.
2d.2,"Llame a participantes específicos: esto puede ayudar a garantizar que los participantes menos vocales tengan la oportunidad de hablar. Esto se puede usar más adelante en la discusión una vez que el facilitador tenga una idea de qué participantes pueden beneficiarse de ser llamados. Alternativamente, un facilitador puede usar esta técnica cuando sabe que cierto participante tiene conocimientos o información importantes relacionados con una pregunta."
2d.3,"Respuesta rápida: Vaya en círculo y cada persona comparte muy brevemente su opinión/respuesta a la pregunta. Esto puede ser efectivo para sondear a la audiencia, ya que involucra a todos. Sin embargo, asegúrese de comunicarse claramente y hacer cumplir los límites de tiempo o este método puede terminar agotando demasiado tiempo de discusión."
2d.4,Vota: encuesta a la audiencia haciendo una pregunta y haciendo que la gente levante la mano de acuerdo con las diferentes opciones de respuesta. Esto se puede hacer de forma abierta o anónima con los ojos cerrados o con personas escribiendo sus respuestas en hojas de papel dobladas que luego se recogen.
2d.5,"Grupos: divida el grupo en grupos más pequeños que discutan e informen al grupo principal. Esta técnica es especialmente útil con grupos grandes cuando no hay tiempo suficiente para que todos los miembros del grupo participen en el foro grupal completo. En esta situación, asegúrese de que cada grupo tenga partes interesadas que representen diferentes opiniones y perspectivas."
p74,Preguntas de Grupos Focales
p75,"Comience el grupo focal presentándose a sí mismo, al proyecto y al objetivo de la reunión. Luego, haga que todos en la sala se presenten. Planifique los mejores métodos para cada pregunta para obtener y recopilar respuestas de antemano (consulte la sección anterior para obtener ideas). Consulte el documento de la Encuesta de Perfiles de la Comunidad para ver la lista completa de preguntas de los grupos focales a las que puede acceder."
p76,Recursos de facilitación (disponibles en inglés)
