key,ceb
p44,"Ang pag-andam importante sa pagpahigayon sa matag pamaagi sa survey, tungod kay ang maayong pagpangandam makahatag kanimo og pagsalig sa pagka-epektibo sa matag pamaagi nga imong gigamit."
p45,Panahon sa pagkolekta sa impormasyon
p46,I-Adjust ang oras sa pagpahigayon sa matag pamaagi sa panahon sa umaabot nga respondent o target nga grupo sa komunidad.
p47,Tubiganan
p48,"Ang pagsabut sa mga potensyal nga respondents nga imong mahimamat sa panahon sa pangisda ang pag-profile hinungdanon sa paghimo og mga survey. Ang mga grupo o indibidwal nga naa sa survey kinahanglan makadawat una nga pahibalo. Busa, sa pagpaila sa impluwensiyadong mga lider sa komunidad kinahanglan nga bahin sa pre-survey nga buhat."
p49,Logistics
p50,Ang matag pamaagi adunay logistic ug materyal nga mga panginahanglan. Siguruha nga ang mga kahinguhaan ug kagamitan nga gikinahanglan alang sa matag pamaagi sa pag-profile sa pangisda giandam na.
p51,Yawe nga tawo contact listahan
p52,Luwasa ang usa ka yawe nga tawo contact listahan sa ibabaw sa imong telepono ug usab sa usa ka giimprinta nga bersyon alang sa back up.
p53,Panglawas ug kaluwasan
p54,Siguroha nga kamo anaa sa usa ka maayo nga kahimtang sa pagpahigayon sa fisheries profiling. Pagdala og first aid kit.
p55,Focus Group Panaghisgutan Giya
p56,"Ang mosunod naglangkob giya ug mga rekomendasyon sa pagpahigayon sa usa ka focus grupo sa pagdakop sa komunidad profiling impormasyon. Ang paghupot sa usa ka sesyon sa grupo sa focus girekomenda aron awhagon ang dayalogo, makuha ang pagkalainlain sa mga opinyon, ug magsugod sa pagtukod mga relasyon sa mga hinungdanon nga miyembro sa komunidad. Apan, sa kaso nga ang usa ka focus nga grupo dili mahimo, ang komunidad profiling survey mahimong gipahigayon ingon nga tagsa-tagsa nga mga interbyu uban sa importante nga mga stakeholders sa paggamit sa ""Community Profiling Survey"" kobo nga porma. Sa kinatibuk-an, ang katuyoan sa ehersisyo sa pag-profiling sa komunidad, bisan sa usa ka format sa pag-focus o indibidwal nga interbyu, aron masabtan ang kinatibuk-ang talan-awon sa komunidad ug ang mga pangisda nga naglihok sa sulud sa komunidad."
p57,Paghimo usa ka grupo sa pag-focus
p58,"Sa wala pa host sa usa ka pormal nga fisheries profiling focus grupo, kini girekomendar sa pagpahigayon sa dili pormal nga panag-istoryahanay ug sa partisipante obserbasyon. Kini nga pamaagi nagpasabut sa paggahin og panahon, pagtukod og mga relasyon, ug pagsabut sa pangisda gamit ang dili pormal nga panag-istoryahanay ug obserbasyon sa sumasalmot."
p59,"Ang dili pormal nga panag-istoryahanay importante aron mas masabtan ang kinatibuk-ang konteksto sa pangisda sa dili pa ipahigayon ang panaghisgutan sa grupo sa focus. Gamita kini nga pamaagi ingon usa sa mga punto sa pagsugod aron maporma ang sulud sa diskusyon sa grupo sa focus. Kini nga pamaagi magtugot kanimo nga mahibal-an ang komunidad sa pangisda, magsugod sa pagtukod og mga relasyon, ug makakuha og pagsalig."
p60,Girekomendar tips sa pagpahigayon sa dili pormal nga panag istoryahanay:
tip1,"Pagtahod sa mga kalainan sa kultura. Sunda ang mga lagda sa katilingban sama sa madawat nga mga pangomosta, mga code sa pamiste, ug pagtahud sa relihiyosong mga binuhatan. Pagmatinahuron, pagpaubos, ug pagpamati sa mga opinyon sa mga hingtungdan nga dili ipahamtang ang imong kaugalingon. Ang pagpabilin sa sulud sa usa ka komunidad, paghimo usa ka taho, ug pagpaambit sa mga pagkaon makatabang sa pagpalig-on sa pagsalig."
tip2,"Paggahin og panahon uban sa mga stakeholder. Wala ' y laktud nga paagi aron makuha ang pagsalig ug suporta. Ilabi na sa sulod sa mga komunidad kini mao ang maayo nga makita, mogahin og panahon diha sa mga balangay ug sa pagsugat sa mga tawo. Pag-andam sa paghisgot sa mas lapad nga mga isyu sa sulod sa komunidad. Ayaw pagsulay sa pagduso sa usa ka piho nga agenda."
tip3,"Gamita ang lokal nga pinulongan kon mahimo, gawas kon ang usa ka komon nga pinulongan mao ang accessible. Kung dili, paggamit usa ka maghuhubad. Pag-amping sa mga sayup sa paghubad. Ang pag-cross check sa paghubad tali sa labaw sa usa ka maghuhubad makatabang sa pagpakunhod sa sayop nga interpretasyon."
tip4,"Ayaw pagsaad og mga saad nga dili matuman. Tin-aw sa mga katuyoan ug gilauman nga mga sangputanan nga wala ' y pagpataas sa mga gilauman. Kini mao ang importante nga gibug-aton sa sayo sa mao nga ang mga komunidad adunay usa ka tin-aw nga pagsabot sa papel sa mga teknikal nga partner, i.e. sa pagpahigayon sa kugita fisherery pagsira, dili sa pagkalot atabay o pag-ayo sa mga eskwelahan. Kini mao ang importante aron sa pagsiguro nga ang tanan nahibalo sa unsa ang organisasyon mahimo ug dili sa pagbuhat sa sulod sa komunidad. Ang pagsiguro sa realistiko nga mga gilauman makatabang sa pagpaminus sa kasagmuyo, reklamo, ug mga panagbangi samtang nagpadayon ang proyekto."
tip5,Ipakigbahin ang mga plano ug mga kalihokan kaylap. Siguruha nga ang bisan unsang mga miting o kalihokan giplano nga daan ug sa mga oras nga magkauyon ug mga lokasyon aron mapadako ang pagtambong. Siguruha nga ang bisan unsang mga pagbag-o sa mga plano ug kalihokan gipahibalo sa labing dali nga panahon. Ang husto nga oras ug pagpadayon sa mga kasabutan makatabang sa pagpalig-on sa pagsalig ug pagsalig taliwala sa mga hingtungdan.
tip6,Ilha kanunay ang mga stakeholders sa mga output sa proyekto sama sa mga taho ug pagpagawas sa media sulod sa mga miting sa stakeholder ug sa gawas nga mga presentasyon. Pagmatngon sa impormasyon 'pagpanag-iya' ug pagtahod confidentiality ug privacy.
p61,"Ang mas maayong pagsabot sa talan-awon sa stakeholder sa komunidad maoy usa ka mahinungdanong tumong sa pagpahigayon sa dili pormal nga panag-istoryahanay ug obserbasyon sa partisipante. Ang mga stakeholder makaapekto o mahimong maapektuhan sa mga aksyon sa usa ka organisasyon. Ang ilang suporta mahinungdanon alang sa kalampusan sa usa ka organisasyon sa pagpatuman sa mga plano sa pagdumala sa pangisda. Pinaagi sa mas maayong pagsabot sa mga stakeholder, epektibo nimong mailhan ang mga stakeholder nga nalambigit sa umaabot nga pagmonitor sa pangisda alang sa pagdumala sa pangisda sa ilang lugar."
examples,Mga panig-ingnan sa mga stakeholders nga naglakip sa:
example1,Mangingisda
example2,Ulo sa barangay
example3,Hugot nga pagtuo/relihiyosong mga lider
example4,Ulo sa distrito
example5,Mga health worker/health worker
example6,Village buyer/supplier
example7,Planta sa pagproseso
example8,Mga babaye sa baryo/mga asawa sa mangingisda
p62,Impormasyon nga nakolekta sa mga stakeholders:
point47,"Impormasyon mahitungod sa yawe stakeholders ug sa ilang mga posisyon sa relasyon ngadto sa usa ka kompaniya sa mga tumong (matang sa suporta, gahum, etc.). Kini nga impormasyon mahimong gamiton sa pag-ila nga mga stakeholders sa pag-apil diha sa komunidad profiling focus group."
p63,"Human sa pagpahigayon sa dili pormal nga mga panag-istoryahanay, ang sunod nga lakang nga imong mahimo mao ang obserbasyon sa partisipante. Ang obserbasyon usa ka pamaagi nga nagtugot kanimo sa paggamit sa mga panghitabo sa imong palibut aron magtigum mga timailhan ug maghimo mga konklusyon bahin sa piho nga mga lokal o kasinatian pinaagi sa pag-obserbar sa usa ka adlaw sa baryo sa pangisda. Kini nga pamaagi mao ang gikinahanglan aron sa pagtigum sa ebidensiya gikan sa impormasyon nga gihatag sa dili pormal nga panag-istoryahanay. Kini nga pamaagi nagtugot kanimo nga masabtan ang adlaw-adlaw nga kalihokan sa pangisda sa baryo."
p64,Focus Grupo Pamaagi
2a,Pag-organisar sa focus group
2a.1,"Hinungdanon nga ipadayon ang maayong relasyon sa mga target nga komunidad. Busa, kon mahimo, ang mga balangay kinahanglan nga gipahibalo sa programa alang sa focus grupo sa miting sa labing menos duha ka semana sa daan."
2a.2,"Kung adunay pagdawat sa mobile phone, tawagan ang ulo sa baryo o uban pang(mga) lokal nga kontak."
2a.3,"Kung ang baryo wala ' y pagdawat sa mobile phone, pagpahigayon usa ka pagbisita sa baryo aron mahimamat ang ulo sa baryo o uban pang(mga) lokal nga kontak."
2a.4,"Atol niini nga tawag o pagbisita sa presidente sa baryo o sa ubang(mga) lokal nga kontak, ipasabut ang mosunod:"
2a.4.1,Tumong sa miting
2a.4.2,Lokasyon sa miting
2a.4.3,Petsa ug oras sa miting
2a.4.4,Pamaagi sa pagpahibalo sa mga sumasalmot sa miting
2a.4.5,Gidaghanon sa mga partisipante
2a.4.5.1,Ang tanan nga mga tagabaryo o espesyal nga mga tawo nga gibase sa labing maayo nga mga mangingisda (2)
2a.4.5.2,Kasagaran nga mga mangingisda (2)
2a.4.5.3,Ang mga mangingisda nga sa kanunay sa daghan nga lain-laing mga mga dapit sa pagpangisda (2)
2a.4.5.4,Maayo nga mga mangingisda mas maayo nga adunay kasinatian sa mapping (2)
2a.5,"Mga babaye - tan-awa ang ulo sa baryo kung ang grupo sa pokus mahimong mahitabo uban ang parehas nga mga lalaki nga nag-uban nga daan sama sa pipila ka mga lugar, dili kini kanunay posible."
2a.6,"Likayi ang pagpahigayon sa(mga) miting sa panahon sa tingpamulak / taas nga panahon sa pagpangisda,ingon nga daghan sa mga gikinahanglan nga mga mangingisda mahimo nga busy sa pagpangisda."
2a.7,Siguruha nga susihon ang mga iskedyul sa uban pang mga proyekto nga mahimo ' g nagtrabaho sa parehas nga lugar sa parehas nga oras aron malikayan ang mga panagsangka.
2b,Grupo sa Focus
p65,"Ang mosunod mao ang girekomendar nga mga tahas alang sa team nga nag-una sa focus group. Sa usa ka minimum, sa usa ka focus grupo kinahanglan nga adunay usa ka facilitator ug usa ka mubo nga sulat-taker."
p66,Lead facilitator: Nangulo ug moderates sa miting
2b.1,Ipaila ang miting
2b.2,Pasilip sa event
2b.3,Moderate sa proseso
2b.4,Naglihok ingon usa ka catalyst taliwala sa mga indibidwal sa grupo
2b.5,Pagpangita mga paagi aron mahiusa ang mga nagpatigbabaw ug hilum nga mga tawo ug gisiguro nga ang tanan nga mga miyembro sa grupo makahimo sa pagpahayag sa ilang mga opinyon
2b.6,Siguruha nga ang grupo nagpadayon sa hilisgutan apan nabag o usab sa pagdumala sa dugang nga hinungdanon nga kasayuran
2b.7,Balika sa kaugalingon nga mga pulong kung unsa ang gisulti sa mga tawo aron kumpirmahon nga adunay maayong pagsabut sa diskusyon
2b.8,Pagdumala sa oras
p67,"Tabang sa Facilitator: Pagtabang sa nanguna nga facilitator, labi na sa pagpakita sa mga visual aid"
2b.9,Suportahi ang tanan nga may kalabutan nga impormasyon
2b.10,"Nanguna sa pagpakita sa mga visual aids ug pagtabang sa uban pang mga interactive nga sangkap sa miting sama sa pag-tall sa mga boto, pagkuha mga nota nga gipakita, pagpasa sa mga materyal, ug uban pa."
2b.11,Pagdala sa gikinahanglan nga materyal
2b.12,"Pagtabang sa facilitator sa usa ka dili direkta nga paagi pinaagi sa paghatag mga timailhan (pananglitan, pagtudlo sa mga gusto nga makigsulti)."
2b.13,"Nagsuporta sa facilitator direkta pinaagi sa pagpangutana, kon ang kahimtang nagkinahanglan niini."
p68,Note-taker: Dokumento sa miting
2b.14,Tan-awa ang hitabo gikan sa background
2b.15,Kuhaa ang tanan nga mga tubag. Maayo nga i-print ang lista sa pangutana aron kini ma-annotate sa mga nota sa panahon sa miting.
2b.16,Isulat ang tanan nga importante nga impormasyon
2b.17,Mga nota kinsa ang nagsulti. Adunay ba managsama nga pag-apil sa tanan o ang pipila ka mga tawo nagdominar sa proseso? Nagsulti ba ang mga babaye?
2c,Mga kalahok sa Focus group
p69,"Planoha pag-ayo kon kinsa ang modapit sa miting sa focus group. Ang pag-ila sa 10-12 nga mga indibidwal girekomenda aron masiguro nga ang gidak-on madumala, nga nagtugot alang sa igo nga representasyon sa lainlaing mga panan-aw. Kutob sa mahimo, ilakip ang mga representante gikan sa lain-laing mga grupo sa stakeholder ug mga sektor sa komunidad (tan-awa ang mga panig-ingnan sa mga matang sa mga stakeholders sa seksyon sa ibabaw). Sa diha nga pagpili sa mga partisipante, asoy alang sa ilang kahibalo ug mga tahas sa komunidad. Ang pagdapit sa mga tawo nga mas kahibalo mahitungod sa pangisda ug sa komunidad, sama sa full-time nga mangingisda kay sa panagsa nga mangingisda, makahatag og mas lig-on ug tukma nga impormasyon. Ang pag-ila ug pagdapit sa mga tawo nga gitahod pag-ayo sa komunidad makatabang sa pagpalig-on sa pagsalig."
2d,Panaghisgutan logistics ug pamaagi
p70,"Ang datos mahimong makuha sa"" Community Profiling Survey "" kobo form. Apan, kini mahimong mas sayon alang sa mubo nga sulat-taker sa pagdakop sa mga data pinaagi sa sinulat nga mubo nga mga sulat aron sa mas sayon nga pagdakop sa mga nuances ug impormasyon nga motumaw gikan sa grupo panaghisgutan, sama sa lain-laing mga tubag matag respondent."
p71,"Kon ang impormasyon nga nakolekta pinaagi sa pagkuha sa mubo nga mga sulat. Human sa focus grupo sa miting nga nahuman, ang mga tubag kinahanglan nga misulod ngadto sa ""Community Profiling Survey"" Kobo porma."
p72,Awhaga ang tanan nga mga sakop sa grupo sa pagsulti samtang sila nagrepresentar sa sinagol nga edad ug sosyal nga mga baruganan nga mahimong adunay lain-laing mga kasinatian sa pangisda.
p73,"Ang pag-post sa mga pangutana sa tagsa-tagsa ngadto sa grupo ug paghulat sa mga boluntaryo sa pagtubag usa ka pamaagi sa pagpanguna sa usa ka diskusyon. Bisan pa, ang pagkalainlain kung giunsa ang mga gipangayo sa facilitator nga tubag makatabang nga mapadayon ang diskusyon nga makapaikag ug masiguro usab nga ang tanan nga mga tingog madungog ug dili kaayo tingog nga mga partisipante makahimo sa pag-apil. Sa wala pa magsugod ang grupo sa pokus, hunahunaa kung giunsa nimo gusto nga makakuha mga tubag alang sa matag giplano nga pangutana."
2d.1,Open forum – bisan kinsa ang makatubag sa pangutana ug makasulti.
2d.2,"Tawag sa piho nga mga partisipante – kini makatabang sa pagsiguro nga ang dili kaayo tingog partisipante nga gihatag sa usa ka higayon sa pagsulti. Kini mahimong gamiton sa ulahi sa panaghisgutan sa higayon nga ang facilitator adunay usa ka pagbati nga ang mga partisipante mahimong makabenepisyo gikan sa gitawag. Sa laing paagi, ang usa ka facilitator mahimong mogamit niini nga pamaagi kung nahibal-an nila nga ang usa ka partisipante adunay hinungdanon nga kahibalo o kasayuran nga may kalabutan sa usa ka pangutana."
2d.3,"Dali nga tubag – Pag-Adto sa usa ka lingin ug ang matag tawo dali nga nagpaambit sa ilang opinyon/tubag sa pangutana. Kini mahimong epektibo sa pagboto sa mamiminaw ingon nga kini naglakip sa tanan. Bisan pa, siguruha nga tin-aw nga makigsulti ug ipatuman ang mga limitasyon sa oras o kini nga pamaagi mahimong matapos sa paghubas sa daghang oras sa diskusyon."
2d.4,Vote - Poll ang mamiminaw pinaagi sa pagpangutana ug pagpataas sa ilang kamot uyon sa lainlaing mga kapilian sa pagtubag. Mahimo kini nga bukas o dili nagpaila nga adunay mga mata nga sirado o sa mga tawo nga nagsulat sa ilang mga tubag sa gipilo nga mga piraso sa papel nga dayon nakolekta.
2d.5,"Mga grupo-Bahina ang grupo ngadto sa gagmay nga mga grupo nga maghisgot ug magreport balik ngadto sa nag-unang grupo. Kini nga pamaagi mao ang ilabi na makatabang sa dako nga mga grupo sa diha nga adunay dili igo nga panahon alang sa tanan nga mga sakop sa grupo sa pag-apil diha sa bug-os nga grupo forum. Sa kini nga sitwasyon, siguruha nga ang matag grupo adunay mga hingtungdan nga nagrepresentar sa lainlaing mga opinyon ug panan-aw."
p74,Focus Grupo Nga Mga Pangutana
p75,"Sugdi ang grupo sa pokus pinaagi sa pagpaila sa imong kaugalingon, ang proyekto, ug ang katuyoan sa miting. Ang tanan nga anaa sa kwarto ipaila ang ilang kaugalingon. Pagplano sa labing maayo nga mga pamaagi alang sa matag pangutana sa pag-elicit ug pagkolekta og mga tubag daan (tan-awa sa seksyon sa ibabaw alang sa mga ideya). Palihug tan-awa ang dokumento sa Pag-Profile sa Komunidad Alang sa bug-os nga lista sa mga pangutana sa grupo sa focus."
p76,Mga Kapanguhaan nga pang-edukasyon (magamit sa English)
