key,fil
p43,Paghahanda
p44,"Mahalaga ang paghahanda sa pagsasagawa ng bawat pamamaraan ng survey, dahil ang mahusay na paghahanda ay magbibigay sa iyo ng kumpiyansa sa pagiging epektibo ng bawat pamamaraan na iyong inilalapat."
p45,Oras para sa pagkolekta ng impormasyon
p46,Ayusin ang oras ng pagsasagawa ng bawat pamamaraan sa oras ng prospective na tumutugon o naka-target na pangkat ng komunidad.
p47,Respondent
p48,"Ang pag-unawa sa mga potensyal na respondent na matutugunan mo sa panahon ng fisheries profiling ay mahalaga sa pagsasagawa ng mga survey. Ang mga pangkat o indibidwal na nasa survey ay dapat makatanggap ng paunang abiso. Samakatuwid, ang pagpapakilala ng mga maimpluwensyang pinuno ng komunidad ay dapat na bahagi ng gawaing pre-survey."
p49,Logistik
p50,Ang bawat pamamaraan ay may logistic at materyal na pangangailangan. Siguraduhin na ang mga mapagkukunan at kagamitan na kinakailangan para sa bawat pamamaraan ng pag-profile ng pangisdaan ay inihanda.
p51,Listahan ng contact ng pangunahing tao
p52,I-Save ang isang pangunahing listahan ng contact ng tao sa iyong telepono at mayroon ding naka-print na bersyon para sa pag-back up.
p53,Kalusugan at kaligtasan
p54,Tiyaking nasa mabuting kalagayan ka upang magsagawa ng profiling ng pangisdaan. Magdala ng isang mahalagang first aid kit.
p55,Patnubay Sa Talakayan Ng Pangkat Ng Pokus
p56,"Ang sumusunod ay naglalaman ng patnubay at mga rekomendasyon sa pagsasagawa ng isang focus group upang makuha ang impormasyon sa pag-profile ng komunidad. Ang pagdaraos ng sesyon ng focus group ay inirerekomenda upang hikayatin ang diyalogo, makuha ang pagkakaiba-iba ng mga opinyon, at simulan ang pagbuo ng mga relasyon sa mga mahahalagang miyembro ng komunidad. Gayunman, sa kaso na ang isang focus group ay hindi posible, ang community profiling survey ay maaaring isagawa bilang mga indibidwal na pakikipanayam sa mga mahalagang stakeholder gamit ang ""Community Profiling Survey"" Kobo form. Sa pangkalahatan, ang layunin ng pagsasanay sa pag-profile ng komunidad, maging sa isang focus group o indibidwal na format ng pakikipanayam, ay upang maunawaan ang pangkalahatang tanawin ng komunidad at ang mga pangingisda na nagpapatakbo sa loob ng komunidad."
p57,Bago magsagawa ng isang focus group
p58,"Bago mag-host ng pormal na grupo ng pokus sa pag-profile ng pangingisda, inirerekomenda na magsagawa ng mga di-pormal na pag-uusap at pagmamasid ng kalahok. Ang pamamaraang ito ay nangangahulugan ng paggugol ng oras, pagbuo ng mga relasyon, at pag-unawa sa palaisdaan gamit ang impormal na pag-uusap at pagmamasid ng kalahok."
p59,"Ang impormal na pag-uusap ay mahalaga upang mas maunawaan ang pangkalahatang konteksto ng pangisdaan bago magsagawa ng talakayan ng grupo ng pokus. Gamitin ang pamamaraang ito bilang isa sa mga panimulang punto upang mabuo ang nilalaman ng talakayan ng pangkat ng pokus. Papayagan ka ng pamamaraang ito na makilala ang pamayanan ng pangisdaan, upang simulan ang pagbuo ng mga relasyon, at makakuha ng tiwala."
p60,Mga inirekumendang tip upang magsagawa ng impormal na pag-uusap:
tip1,"Igalang ang mga pagkakaiba sa kultura. Sundin ang mga pamantayan sa lipunan tulad ng mga katanggap-tanggap na pagbati, mga code ng damit, at igalang ang mga kasanayan sa relihiyon. Maging magalang, mapagpakumbaba, at makinig sa mga opinyon ng stakeholder nang hindi nagpapataw ng iyong sarili. Ang pananatili sa loob ng isang pamayanan, pagbuo ng isang ugnayan, at pagbabahagi ng mga pagkain ay makakatulong upang mabuo ang tiwala."
tip2,"Gumugol ng oras sa mga stakeholder. Walang shortcut sa pagkakaroon ng tiwala at suporta. Lalo na sa loob ng mga pamayanan ay Mabuting makita, gumugol ng oras sa mga nayon at makilala ang mga tao. Maging handa upang talakayin ang mas malawak na mga isyu sa loob ng komunidad. Huwag subukang itulak ang isang partikular na agenda."
tip3,"Gamitin ang lokal na wika kung maaari, maliban kung ang isang karaniwang wika ay naa-access. Kung hindi, gumamit ng interpreter. Maging maingat sa mga pagkakamali sa pagsasalin. Ang pagsasalin ng cross checking sa pagitan ng higit sa isang interpreter ay maaaring makatulong na mabawasan ang maling interpretasyon."
tip4,"Huwag gumawa ng mga pangako na hindi matutupad. Maging malinaw sa mga layunin at inaasahang kinalabasan nang hindi nagtataas ng mga inaasahan. Ito ay mahalaga upang bigyang-diin nang maaga upang ang mga komunidad ay magkaroon ng isang malinaw na pag-unawa sa papel na ginagampanan ng kasosyo sa teknikal, ibig sabihin upang mapadali ang pagsasara ng palaisdaan ng pugita, hindi upang maghukay ng mga balon o mag-ayos ng mga paaralan. Mahalagang matiyak na ang lahat ay may kamalayan sa kung ano ang magagawa at hindi magagawa ng samahan sa loob ng komunidad. Ang pagtiyak ng makatotohanang mga inaasahan ay nakakatulong upang mabawasan ang pagkabigo, reklamo, at mga salungatan habang umuusad ang proyekto."
tip5,Malawak na makipag-usap sa mga plano at aktibidad. Tiyakin na ang anumang mga pagpupulong o aktibidad ay binalak nang maaga at sa kapwa nakalulugod na mga oras at lokasyon upang ma-maximize ang pagdalo. Tiyaking ang anumang mga pagbabago sa mga plano at aktibidad ay naiparating nang maaga hangga ' t maaari. Ang pagiging nasa oras at nananatili sa mga kasunduan ay nakakatulong upang mabuo ang tiwala at tiwala sa pagitan ng mga stakeholder.
tip6,Palaging kilalanin ang mga stakeholder sa mga output ng proyekto tulad ng mga ulat at paglabas ng media sa loob ng mga pagpupulong ng stakeholder at panlabas na pagtatanghal. Magkaroon ng kamalayan sa 'pagmamay-ari' ng impormasyon at igalang ang pagiging kompidensiyal at privacy.
p61,"Ang mas mahusay na pag-unawa sa tanawin ng stakeholder sa komunidad ay isang mahalagang layunin sa pagsasagawa ng mga impormal na pag-uusap at pagmamasid ng kalahok. Ang mga stakeholder ay nakakaapekto o maaaring maapektuhan ng mga aksyon ng isang organisasyon. Ang kanilang suporta ay mahalaga para sa tagumpay ng isang organisasyon sa pagpapatupad ng mga plano sa pamamahala ng pangisdaan. Sa pamamagitan ng mas mahusay na pag-unawa sa mga stakeholder, mabisa mong matutukoy ang mga stakeholder na kasangkot sa hinaharap na pagsubaybay sa pangisdaan para sa pamamahala ng pangisdaan sa kanilang lugar."
examples,Mga halimbawa ng mga uri ng mga stakeholder upang isama:
example1,Mga mangingisda
example2,Pinuno ng nayon
example3,Pananampalataya/mga pinuno ng relihiyon
example4,Pangulo ng distrito
example5,Manggagawa sa kalusugan ng komunidad / practitioner sa kalusugan
example6,Mamimili/tagatustos ng nayon
example7,Pagproseso ng halaman
example8,Mga babae sa nayon/asawa ng mga mangingisda
p62,Impormasyon na makokolekta tungkol sa mga stakeholder:
point47,"Ang impormasyon tungkol sa mga pangunahing stakeholder at ang kanilang mga posisyon na may kaugnayan sa mga layunin ng isang entidad (degree ng suporta, kapangyarihan, atbp.)). Ang impormasyong ito ay maaaring gamitin upang makilala kung aling mga stakeholder ang isasama sa Community profiling focus group."
p63,"Matapos magsagawa ng impormal na pag-uusap, ang susunod na hakbang na maaari mong gawin ay ang pagmamasid ng kalahok. Ang pagmamasid ay isang pamamaraan na nagbibigay-daan sa iyo upang magamit ang mga kaganapan sa paligid mo upang makalikom ng mga pahiwatig at makabuo ng mga konklusyon tungkol sa mga tukoy na lokal o karanasan sa pamamagitan ng pagmamasid sa isang araw sa nayon ng pangingisda. Ang pamamaraang ito ay kinakailangan upang mangalap ng katibayan mula sa impormasyong ibinigay sa impormal na pag-uusap. Pinapayagan ka ng pamamaraang ito na maunawaan ang pang-araw-araw na mga aktibidad sa buhay ng nayon ng pangingisda."
p64,Mga Pamamaraan Ng Pangkat Ng Pokus
2a,Pag-aayos ng pangkat ng pokus
2a.1,"Mahalaga na mapanatili ang mabuting ugnayan sa mga target na komunidad. Samakatuwid, kung saan posible ang mga nayon ay dapat ipagbigay-alam sa programa para sa pulong ng focus group ng hindi bababa sa dalawang linggo nang maaga."
2a.2,"Kung ang nayon ay may pagtanggap ng mobile phone, tawagan ang pinuno ng nayon o iba pang(mga) lokal na contact."
2a.3,"Kung ang nayon ay walang pagtanggap ng mobile phone, magsagawa ng pagbisita sa nayon upang makipagkita sa pinuno ng nayon o iba pang(mga) lokal na contact."
2a.4,"Sa panahon ng tawag sa telepono o pagbisita sa Pangulo ng nayon o iba pang(mga) lokal na contact, ipaliwanag ang sumusunod:"
2a.4.1,Layunin ng pagpupulong
2a.4.2,Lokasyon ng pagpupulong
2a.4.3,Petsa at oras ng pagpupulong
2a.4.4,Paraan ng pagpapaalam sa mga kalahok ng pulong
2a.4.5,Bilang ng mga kalahok
2a.4.5.1,Lahat ng mga tagabaryo o mga espesyal na tao batay sa pinakamahusay na mga mangingisda (2)
2a.4.5.2,Karamihan sa mga madalas na mangingisda (2)
2a.4.5.3,Mga mangingisda na madalas na maraming iba ' t ibang mga site ng pangingisda (2)
2a.4.5.4,Mahusay na iginagalang fishers mas mabuti na may karanasan sa pagmamapa (2)
2a.5,"Babae-suriin sa pinuno ng nayon kung ang focus group ay maaaring maganap sa parehong kasarian na magkasama nang maaga tulad ng sa ilang mga lugar, hindi ito laging posible."
2a.6,"Subukang iwasan ang pagsasagawa ng(mga) pagpupulong sa panahon ng spring tides/mataas na panahon ng pangingisda, dahil marami sa mga kinakailangang mangingisda ay malamang na abala sa pangingisda."
2a.7,Siguraduhing suriin ang mga iskedyul ng iba pang mga proyekto na maaaring nagtatrabaho sa parehong lugar nang sabay upang maiwasan ang mga pag-aaway.
2b,Koponan ng Focus group
p65,"Ang mga sumusunod ay ang inirerekomenda na mga tungkulin para sa koponan na nangunguna sa focus group. Sa pinakamaliit, ang isang focus group ay dapat magkaroon ng isang facilitator at isang note-taker."
p66,Lead facilitator: humahantong at moderates ang pulong
2b.1,Ipinakikilala ang pulong
2b.2,Pinapadali ang kaganapan
2b.3,Moderates ang proseso
2b.4,Gumaganap bilang isang katalista sa pagitan ng mga indibidwal ng pangkat
2b.5,Nakakahanap ng mga paraan ng pagsasama ng nangingibabaw at tahimik na mga tao at tinitiyak na ang lahat ng mga miyembro ng pangkat ay maaaring ipahayag ang kanilang mga opinyon
2b.6,Tinitiyak na ang grupo ay nagpapanatili sa paksa ngunit nababaluktot din sa paghawak ng karagdagang mahalagang impormasyon
2b.7,Inuulit sa sariling mga salita ang sinasabi ng mga tao upang makumpirma na mayroong isang mahusay na pag-unawa sa talakayan
2b.8,Alagaan ang pamamahala ng oras
p67,"Katulong ng Facilitator: tumutulong sa nangungunang facilitator, lalo na sa pagpapakita ng mga visual aid"
2b.9,Sinusuportahan ang tagakuha ng tala sa pangangalap ng lahat ng nauugnay na impormasyon
2b.10,"Nangunguna sa pagpapakita ng mga visual aid at tumutulong sa iba pang mga interactive na bahagi ng pagpupulong tulad ng pag-tally ng mga boto, pagkuha ng mga tala na ipinapakita, pag-aalis ng mga materyales, atbp."
2b.11,Pinagsasama ang kinakailangang materyal
2b.12,"Tumutulong sa facilitator sa isang hindi direktang paraan sa pamamagitan ng pagbibigay ng mga palatandaan (hal., pagturo sa mga nais magsalita)."
2b.13,"Sinusuportahan ang facilitator nang direkta sa pamamagitan ng pagtatanong, kung kinakailangan ito ng sitwasyon."
p68,Note-taker: idokumento ang pulong
2b.14,Obserbahan ang kaganapan mula sa background
2b.15,Kinukuha ang lahat ng mga tugon. Kapaki-pakinabang na mai-print ang listahan ng tanong upang maaari itong ma-annotate ng mga tala sa panahon ng pagpupulong.
2b.16,Isulat ang lahat ng mahalagang impormasyon
2b.17,Mga tala sino ang nagsasalita. Mayroon bang pantay na pakikilahok ng lahat o may ilang mga tao na nangingibabaw sa proseso? Nag-uusap ba ang mga kababaihan?
2c,Mga kalahok sa pangkat ng pokus
p69,"Maingat na planuhin kung sino ang mag-imbita sa pulong ng focus group. Ang pagkilala sa 10-12 indibidwal ay inirerekomenda upang matiyak na ang laki ay mapapamahalaan, na nagbibigay-daan para sa sapat na representasyon ng iba ' t ibang mga pananaw. Hangga ' t maaari, isama ang mga kinatawan mula sa magkakaibang mga grupo ng stakeholder at mga sektor ng Komunidad (Tingnan ang mga halimbawa ng mga uri ng mga stakeholder sa seksyon sa itaas). Kapag pumipili ng mga kalahok, account para sa kanilang kaalaman at mga tungkulin sa komunidad. Ang pag-anyaya sa mga taong mas may kaalaman tungkol sa mga pangisdaan at pamayanan, tulad ng isang full-time na mangingisda kaysa sa isang paminsan-minsang libangan na mangingisda, ay magbibigay ng mas matatag at tumpak na impormasyon. Ang pagkilala at pag-anyaya sa mga taong iginagalang sa komunidad ay nakakatulong sa pagbuo ng tiwala."
2d,Talakayan logistik at pamamaraan
p70,"Ang Data ay maaaring makuha sa form na ""Community Profiling Survey"" Kobo. Gayunpaman, maaaring mas madali para sa note-taker na makuha ang data sa pamamagitan ng nakasulat na mga tala upang mas madaling makuha ang mga nuances at impormasyon na nagmumula sa talakayan ng grupo, tulad ng magkakaibang mga sagot sa bawat respondent."
p71,"Kung ang impormasyon ay nakolekta sa pamamagitan ng pagkuha ng mga tala. Matapos makumpleto ang pulong ng focus group, ang mga tugon ay dapat na ipasok sa form na ""Community Profiling Survey"" Kobo."
p72,Hikayatin ang lahat ng miyembro ng grupo na magsalita habang kinakatawan nila ang pinaghalong edad at katayuan sa lipunan na maaaring may iba ' t ibang karanasan sa palaisdaan.
p73,"Ang pag-post ng mga katanungan nang paisa-isa sa pangkat at paghihintay para sa mga boluntaryo na tumugon ay isang diskarte sa pamumuno ng isang talakayan. Gayunpaman, ang pag-iiba-iba kung paano humihingi ang facilitator ng mga tugon ay makakatulong na mapanatiling kawili-wili ang talakayan at matiyak din na ang lahat ng mga tinig ay naririnig at hindi gaanong mga kalahok sa boses ay maaaring lumahok. Bago simulan ang pangkat ng pokus, isipin kung paano mo nais na makakuha ng mga tugon para sa bawat nakaplanong tanong."
2d.1,Buksan ang forum-kahit sino ay maaaring tumugon sa tanong at magsalita.
2d.2,"Tumawag sa mga tukoy na kalahok – makakatulong ito na matiyak na ang mas kaunting mga kalahok sa boses ay bibigyan ng pagkakataong magsalita. Maaari itong magamit sa ibang pagkakataon sa talakayan sa sandaling ang facilitator ay may kahulugan kung saan ang mga kalahok ay maaaring makinabang mula sa pagtawag. Bilang kahalili, maaaring gamitin ng isang facilitator ang pamamaraan na ito kapag alam nila na ang isang kalahok ay may mahalagang kaalaman o impormasyon na may kaugnayan sa isang katanungan."
2d.3,"Mabilis na tugon - pumunta sa isang bilog at ang bawat tao ay napakaliit na nagbabahagi ng kanilang opinyon/tugon sa tanong. Maaari itong maging epektibo sa botohan ang madla dahil nagsasangkot ito sa lahat. Gayunpaman, tiyaking malinaw na makipag-usap at magpatupad ng mga limitasyon sa oras o ang pamamaraang ito ay maaaring magtapos sa pag-draining ng labis na oras ng talakayan."
2d.4,Bumoto-Poll ang madla sa pamamagitan ng pagtatanong at pagkakaroon ng mga tao na itaas ang kanilang kamay alinsunod sa iba ' t ibang mga pagpipilian sa pagtugon. Maaari itong gawin nang bukas o hindi nagpapakilala sa mga mata na sarado o sa mga taong nagsusulat ng kanilang mga tugon sa mga nakatiklop na piraso ng papel na pagkatapos ay nakolekta.
2d.5,"Mga pangkat-hatiin ang pangkat sa mas maliliit na pangkat na tumatalakay at nag-uulat pabalik sa pangunahing pangkat. Ang pamamaraan na ito ay lalong kapaki-pakinabang sa malalaking grupo kapag walang sapat na oras para sa lahat ng mga miyembro ng grupo na lumahok sa buong forum ng grupo. Sa sitwasyong ito, siguraduhin na ang bawat pangkat ay may mga stakeholder na kumakatawan sa iba ' t ibang mga opinyon at pananaw."
p74,Mga Tanong Sa Pangkat Ng Pokus
p75,"Simulan ang pangkat ng pokus sa pamamagitan ng pagpapakilala sa iyong sarili, ang proyekto, at ang layunin ng pagpupulong. Pagkatapos, ipakilala ang lahat sa silid. Planuhin ang pinakamahusay na mga pamamaraan para sa bawat tanong upang magtamo at mangolekta ng mga tugon muna (tingnan ang seksyon sa itaas para sa mga ideya). Mangyaring tingnan ang dokumento ng survey ng Profiling ng komunidad para sa buong listahan ng mga tanong sa grupo ng pokus upang maglakad."
p76,Mga mapagkukunan ng pagpapadali (magagamit sa Ingles)
