key,pt
2b.5,Encontra formas de integrar pessoas dominantes e tranquilas e assegura que todos os membros do grupo são capazes de expressar as suas opiniões
2b.6,"Certifica-se de que o grupo mantém o tema, mas também é flexível no tratamento de informações importantes adicionais"
2b.7,"Repete com as suas próprias palavras o que as pessoas dizem, a fim de confirmar que existe uma boa compreensão do debate"
2b.8,Cuida da gestão do tempo
p67,"Assistente do Facilitador: auxilia o facilitador principal, especialmente na exibição de recursos visuais"
2b.9,Apoia o anotador na recolha de todas as informações pertinentes
2b.10,"Lidera a exibição de recursos visuais e auxilia com outros componentes interativos da reunião, como contagem de votos, anotações que são exibidas, distribuição de materiais, etc."
2b.11,Traz consigo o material necessário
2b.12,"Auxilia o facilitador de forma indireta, dando sinais (por exemplo, apontando aqueles que desejam falar)."
2b.13,"Apoia directamente o facilitador, fazendo perguntas, se a situação o exigir."
p68,Anotador: documenta a reunião
2b.14,Observa o evento a partir do fundo
2b.15,Captura todas as respostas. É útil imprimir a lista de perguntas para que possa ser anotada com notas durante a reunião.
2b.16,Anota todas as informações importantes
2b.17,Nota quem fala. Existe uma participação igualitária de todos ou algumas pessoas dominam o processo? As mulheres falam?
2c,Participantes do grupo focal
p69,"Planeje cuidadosamente quem convidar para a reunião do grupo focal. Recomenda-se a identificação de 10-12 indivíduos para garantir que a dimensão é gerível, permitindo uma representação adequada de diferentes perspectivas. Na medida do possível, incluir representantes de diversos grupos de partes interessadas e sectores comunitários (ver exemplos de tipos de partes interessadas na secção supra). Ao selecionar os participantes, ter em conta os seus conhecimentos e funções na comunidade. Convidar pessoas com maior conhecimento das Pescas e da comunidade, como um pescador a tempo inteiro em vez de um pescador ocasional de recreio, fornecerá informações mais robustas e precisas. Identificar e convidar pessoas respeitadas na comunidade ajuda a criar confiança."
2d,Discussão logística e metodologia
p70,"Os dados podem ser capturados no formulário Kobo"" Community Profiling Survey"". No entanto, pode ser mais fácil para o anotador capturar os dados através de notas escritas, a fim de capturar mais facilmente nuances e informações que surgem da discussão em grupo, como respostas diferentes por entrevistado."
p71,"Se a informação for recolhida através de anotações. Após a conclusão da reunião do grupo focal, as respostas devem ser inscritas no formulário Kobo ""Community Profiling Survey""."
p72,"Incentivar todos os membros do grupo a falar, pois representam uma mistura de idades e posições sociais que podem ter experiências diferentes da pesca."
p73,"Fazer perguntas uma a uma ao grupo e esperar que os voluntários respondam é uma abordagem para conduzir uma discussão. No entanto, variar a forma como o facilitador solicita respostas pode ajudar a manter a discussão interessante e também garantir que todas as vozes sejam ouvidas e que menos participantes vocais possam participar. Antes de iniciar o grupo focal, pense em como você gostaria de obter respostas para cada pergunta planejada."
2d.1,Fórum aberto - qualquer pessoa pode responder à pergunta e falar.
2d.2,"Apelo a participantes específicos-isso pode ajudar a garantir que menos participantes vocais tenham a oportunidade de falar. Isso pode ser usado posteriormente na discussão, uma vez que o facilitador tenha uma noção de quais participantes podem se beneficiar de serem chamados. Em alternativa, um facilitador pode utilizar esta técnica quando souber que um determinado participante tem conhecimentos ou informações importantes relacionados com uma questão."
2d.3,"Resposta rápida-faça um círculo e cada pessoa partilha brevemente a sua opinião / resposta à pergunta. Isso pode ser eficaz na votação do público, pois envolve todos. No entanto, certifique-se de comunicar claramente e impor limites de tempo ou este método pode acabar drenando muito tempo de discussão."
2d.4,Votação-sondar o público fazendo uma pergunta e fazendo com que as pessoas levantem a mão de acordo com diferentes opções de resposta. Isso pode ser feito abertamente ou anonimamente com os olhos fechados ou com pessoas escrevendo suas respostas em pedaços de papel dobrados que são então coletados.
2d.5,"Grupos-divida o grupo em grupos menores que discutem e reportam ao grupo principal. Esta técnica é especialmente útil para grupos grandes quando não há tempo suficiente para todos os membros do grupo participarem no fórum completo do grupo. Nesta situação, certifique-se de que cada grupo tem partes interessadas que representam opiniões e perspectivas diferentes."
p74,Perguntas Dos Grupos Focais
p75,"Comece o grupo focal apresentando-se, o projeto e o objetivo da reunião. Então, peça a todos na sala que se apresentem. Planeje os melhores métodos para cada pergunta para obter e coletar respostas com antecedência (veja a seção acima para ideias). Por favor, consulte o documento do inquérito sobre perfis comunitários para obter a lista completa das perguntas dos grupos focais a analisar."
p76,Recursos de facilitação (disponível em inglês)
