key,fr
2a.4,"Au cours de cet appel téléphonique ou de cette visite avec le président du village ou d'autres contacts locaux, expliquez ce qui suit:"
2a.4.1,Objectif de la réunion
2a.4.2,Lieu de la réunion
2a.4.3,Date et heure de la réunion
2a.4.4,Méthode d'information des participants à la réunion
2a.4.5,Nombre de participants
2a.4.5.1,Tous les villageois ou personnes spéciales basés sur les meilleurs pêcheurs (2)
2a.4.5.2,Pêcheurs les plus fréquents (2)
2a.4.5.3,Pêcheurs fréquentant de nombreux sites de pêche différents (2)
2a.4.5.4,Pêcheurs respectés de préférence ayant une expérience en cartographie (2)
2a.5,"Femmes-vérifiez auprès du chef du village si le groupe de discussion peut avoir lieu avec les deux sexes présents ensemble à l'avance car dans certaines régions, ce n'est pas toujours possible."
2a.6,"Essayez d'éviter de tenir la ou les réunions pendant les marées printanières/la haute saison de pêche, car bon nombre des pêcheurs requis seront probablement occupés à pêcher."
2a.7,Assurez-vous de vérifier les calendriers des autres projets qui pourraient travailler dans la même zone en même temps pour éviter les conflits.
2b,Équipe du groupe de discussion
p65,"Voici les rôles recommandés pour l'équipe qui dirige le groupe de discussion. Au minimum, un groupe de discussion devrait avoir un animateur et un preneur de notes."
p66,Animateur principal: Dirige et modère la réunion
2b.1,Présente la réunion
2b.2,Facilite l'événement
2b.3,Modère le processus
2b.4,Agit comme un catalyseur entre les individus du groupe
2b.5,Trouve des moyens d'intégrer les personnes dominantes et calmes et s'assure que tous les membres du groupe sont en mesure d'exprimer leurs opinions
2b.6,S'assure que le groupe s'en tient au sujet mais est également flexible dans le traitement des informations importantes supplémentaires
2b.7,Répète dans ses propres mots ce que les gens disent afin de confirmer qu'il y a une bonne compréhension de la discussion
2b.8,S'occupe de la gestion du temps
p67,"Assistant facilitateur: Assiste le facilitateur principal, en particulier dans l'affichage des aides visuelles"
2b.9,Soutient le preneur de notes dans la collecte de toutes les informations pertinentes
2b.10,"Dirige l'affichage des aides visuelles et aide à d'autres composants interactifs de la réunion tels que le décompte des votes, la prise de notes affichées, la distribution de matériel, etc."
2b.11,Apporte le matériel nécessaire
2b.12,"Assiste l'animateur de manière indirecte en faisant des signes (par exemple, en désignant ceux qui souhaitent parler)."
2b.13,"Soutient directement l'animateur en posant des questions, si la situation l'exige."
p68,Preneur de notes: Documente la réunion
2b.14,Observe l'événement en arrière-plan
2b.15,Capture toutes les réponses. Il est utile d'imprimer la liste de questions afin qu'elle puisse être annotée avec des notes pendant la réunion.
2b.16,Note toutes les informations importantes
2b.17,Notez qui parle. Y a-t-il une participation égale de tous ou certaines personnes dominent-elles le processus? Les femmes parlent-elles?
2c,Participants aux groupes de discussion
p69,"Planifiez soigneusement qui inviter à la réunion du groupe de discussion. Il est recommandé d'identifier 10 à 12 personnes pour s'assurer que la taille est gérable, ce qui permet une représentation adéquate des différentes perspectives. Dans la mesure du possible, incluez des représentants de divers groupes d'intervenants et secteurs communautaires (voir des exemples de types d'intervenants dans la section ci-dessus). Lors de la sélection des participants, tenez compte de leurs connaissances et de leurs rôles dans la communauté. Inviter des personnes mieux informées sur les pêches et la communauté, comme un pêcheur à temps plein plutôt qu'un pêcheur récréatif occasionnel, fournira des informations plus fiables et plus précises. Identifier et inviter des personnes respectées dans la communauté contribue à renforcer la confiance."
2d,Discussion logistique et méthodologie
p70,"Les données peuvent être saisies dans le formulaire Kobo “Enquête de profilage communautaire”. Cependant, il peut être plus facile pour le preneur de notes de saisir les données par notes écrites afin de saisir plus facilement les nuances et les informations qui découlent de la discussion de groupe, telles que les réponses différentes par répondant."
p71,"Si les informations sont collectées en prenant des notes. Une fois la réunion du groupe de discussion terminée, les réponses doivent être saisies dans le formulaire Kobo “Enquête de profilage communautaire”."
p72,"Encouragez tous les membres du groupe à parler, car ils représentent un mélange d'âges et de positions sociales qui peuvent avoir des expériences différentes de la pêche."
p73,"Poser des questions une par une au groupe et attendre que les bénévoles répondent est une approche pour mener une discussion. Cependant, varier la façon dont l'animateur sollicite les réponses peut aider à garder la discussion intéressante et également s'assurer que toutes les voix sont entendues et que les participants moins vocaux peuvent participer. Avant de commencer le groupe de discussion, réfléchissez à la façon dont vous aimeriez obtenir des réponses pour chaque question planifiée."
2d.1,Forum ouvert-N'importe qui peut répondre à la question et parler.
2d.2,"Faites appel à des participants spécifiques – Cela peut aider à garantir que les participants moins vocaux aient la possibilité de parler. Cela peut être utilisé plus tard dans la discussion une fois que l'animateur a une idée des participants qui pourraient bénéficier d'être appelés. Alternativement, un animateur peut utiliser cette technique lorsqu'il sait qu'un certain participant possède des connaissances ou des informations importantes liées à une question."
2d.3,"Réponse rapide - Formez un cercle et chaque personne partage très brièvement son opinion/sa réponse à la question. Cela peut être efficace pour sonder le public car cela implique tout le monde. Cependant, assurez-vous de communiquer clairement et d'imposer des limites de temps, sinon cette méthode peut finir par épuiser trop de temps de discussion."
2d.4,Vote-Interrogez le public en posant une question et en demandant aux gens de lever la main en fonction des différentes options de réponse. Cela peut être fait ouvertement ou anonymement les yeux fermés ou avec des personnes écrivant leurs réponses sur des morceaux de papier pliés qui sont ensuite collectés.
2d.5,"Groupes-Divisez le groupe en petits groupes qui discutent et font rapport au groupe principal. Cette technique est particulièrement utile avec les grands groupes lorsqu'il n'y a pas assez de temps pour que tous les membres du groupe participent au forum complet du groupe. Dans cette situation, assurez-vous que chaque groupe a des parties prenantes représentant des opinions et des perspectives différentes."
p74,Questions des Groupes de Discussion
p75,"Commencez le groupe de discussion en vous présentant, en présentant le projet et l'objectif de la réunion. Ensuite, demandez à tout le monde dans la salle de se présenter. Planifiez les meilleures méthodes pour chaque question afin d'obtenir et de recueillir des réponses à l'avance (voir la section ci-dessus pour des idées). Veuillez consulter le document du Sondage sur le profilage communautaire pour obtenir la liste complète des questions des groupes de discussion à parcourir."
p76,Ressources de facilitation (disponibles en anglais)
