key,tet
tip4,"Keta halo promesa ne'ebé labele kumpre. Sai klaru kona-ba objetivu sira no rezultadu sira ne'ebé hein ona sein hasa'e espetativa sira. Ida ne'e importante atu fó atensaun sedu atu komunidade sira bele komprende ho klaru kona-ba papél parseiru tékniku nian, hanesan atu fasilita enserramentu peska oktopu nian, la'ós atu hadi'a bee-posu ka hadi'a eskola sira. Importante atu asegura katak ema hotu hatene saida mak organizasaun bele no labele halo iha komunidade laran. Asegura espetativa realistiku sira ajuda atu minimiza dezastre, keixa, no konflitu sira bainhira projetu ne'e la'o ba oin."
tip5,Komunika planu no atividade barak. Asegura katak reuniaun ka atividade sira-ne'e planeia ona antes no iha tempu no fatin sira ne'ebé bele simu malu hodi maximiza sira-nia prezensa. Asegura mudansa ruma iha planu no atividade sira komunika sedu. Hodi iha tempu no halo tuir akordu sira-ne'e sei ajuda hametin konfiansa no konfiansa entre parte interesada sira.
tip6,Sempre rekoñese parte interesada sira iha rezultadu projetu hanesan relatóriu no komunikasaun média iha enkontru parte interesada sira no aprezentasaun esterna sira. Hatene informasaun kona-ba na'in no respeita konfidensialidade no privasidade.
p61,"Komprensaun di'ak liu kona-ba paizajen husi parte interesada sira iha komunidade ne'e nu'udar objetivu importante ida hodi hala'o konversasaun informál no observasaun husi partisipante sira. Parte interesada sira afeta ka bele afeta husi organizasaun nia asaun. Sira-nia apoiu ne'e esensiál tebes ba susesu organizasaun nian iha implementasaun planu jestaun peska. Liu husi kompriensaun di'ak liu husi parte interesada sira, ita sei identifika ho efetivu parte interesada sira ne'ebé envolve iha monitorizasaun peska iha futuru ba jestaun peska iha sira-nia área."
examples,Ezemplu husi tipu parte interesada sira atu inklui:
example1,Peskadór
example2,Xefe suku
example3,Ulun-nain relijiozu sira
example4,Xefe distritu
example5,Traballador saúde komunitária / prátika saúde
example6,Sosa-nain suku/supplier
example7,Planta prosesamentu
example8,Feto sira iha suku nia feen
p62,Informasaun atu halibur kona-ba parte interesada sira:
point47,"Informasaun kona-ba parte interesada xave sira no sira-nia pozisaun relasiona ho objetivu entidade nian (gradu apoiu, podér, etc.). Informasaun sira-ne'e bele uza atu identifika parte interesada sira ne'ebé atu inklui iha grupu fokus ba perfíl komunidade."
p63,"Hafoin halo tiha diskusaun informál, pasu tuirmai mak partisipante sira-nia observasaun. Observasaun mak métodu ida-ne'ebé permite ita atu uza eventu sira ne'ebé hale'u ita atu halibur indikasaun no halo konkluzaun kona-ba fatin espesífiku ka esperiénsia liu husi observasaun loron ida iha suku peska. Métodu ida-ne'e nesesáriu atu halibur evidénsia hosi informasaun ne'ebé fornese iha konversasaun informál sira. Métodu ida-ne'e permite ita atu komprende atividade moris loroloron nian iha suku peska."
p64,Prosedimentu Grupu Foku
2a,Organiza grupu fokus
2a.1,"Importante atu mantein relasaun di'ak ho komunidade alvu sira. Tanba ne'e, iha fatin ne'ebé bele, aldeia sira tenke hetan informasaun kona-ba programa ne'e ba enkontru grupu fokus nian pelumenus semana rua antes."
2a.2,"Se aldeia ne'e simu telemovel, bolu xefe-suku ka kontaktu lokál seluk (s)."
2a.3,"Se aldeia la iha simu telemovel, halo vizita ba aldeia hodi hasoru xefe-suku ka kontaktu lokál sira seluk."
2a.4,"Durante telefone ne'e ka vizita ho prezidente suku ka kontaktu lokál sira seluk (s), esplika:"
2a.4.1,Objetivu husi sorumutuk ne'e
2a.4.2,Fatin reuniaun nian
2a.4.3,Data no tempu reuniaun nian
2a.4.4,Métodu informasaun ba partisipante sira iha sorumutu ne'e
2a.4.5,Númeru partisipante sira
2a.4.5.1,Aldeia hotu-hotu ka ema espesiál sira bazeia ba peskadór di'ak liu (2)
2a.4.5.2,Peskadór barak liu (2)
2a.4.5.3,Peskadór sira ne'ebé dala barak iha fatin peska oioin (2)
2a.4.5.4,Peskadór sira ne'ebé hetan respeitu di'ak liu-liu ho esperiénsia iha mapa (2)
2a.5,"Feto - haree ho xefe-suku se grupu fokus ne'e bele akontese ho seksu rua ne'e ne'ebé mosu hamutuk antes hanesan iha área balun, ida-ne'e la sempre posivel."
2a.6,"Koko atu evita hala'o reuniaun (s) durante tempu peska-boot, tanba peska-na'in barak ne'ebé presiza sei sai peska-na'in."
2a.7,Asegura katak bele haree oráriu ba projetu sira seluk ne'ebé bele servisu iha fatin hanesan iha tempu hanesan atu evita konflitu.
2b,Ekipa grupu fokus
p65,"Tuir mai mak papél rekomendadu ba ekipa ne'ebé lidera grupu fokus. Pelumenus, grupu fokus ida tenke iha fasilitadór no nota-taker."
p66,Fasilitadór prinsipál: Lider no moderadu reuniaun
2b.1,Introdús enkontru ne'e
2b.2,Fasilita eventu ne'e
2b.3,Modera prosesu
2b.4,Atua hanesan katalizador entre individuál grupu nian
2b.5,Buka dalan atu integra ema ne'ebé domina no nonok no asegura katak membru grupu hotu-hotu bele hato'o sira-nia hanoin
2b.6,Asegura katak grupu ne'e kontinua halo tópiku maibé mós fleksivel atu trata informasaun importante adisionál
2b.7,Repete ho liafuan rasik saida mak ema hatete atu konfirma katak iha kompriensaun di'ak kona-ba diskusaun
2b.8,Kuidadu ba jestaun tempu
p67,"Asistente Fasilitador: Asiste fasilitadór lider, liuliu iha hatudu asisténsia visual"
2b.9,Apoia ema ne'ebé halibur informasaun relevante hotu
2b.10,"Lidera hatudu asisténsia visual no ajuda ho komponente interativu sira seluk iha enkontru hanesan tallying votu, foti nota sira ne'ebé hatudu, pasa materiál, etc."
2b.11,Lori sasán sira ne'ebé presiza
2b.12,"Tulun fasilitadór ho forma indireta hodi fó sinál (hanesan, hatudu ema ne'ebé hakarak ko'alia)."
2b.13,"Apoia diretamente fasilitadór hodi husu pergunta, se situasaun ne'e ezije."
p68,Nota-taker: Dokumentu enkontru
2b.14,Haree eventu ne'e husi background
2b.15,Kaptura resposta hotu. Di'ak atu halo impresaun ba lista pergunta sira-ne'e atu nune'e bele anota ho nota sira durante enkontru.
2b.16,Hakerek informasaun importante hotu
2b.17,Nota se mak ko'alia hela. Iha partisipasaun ida-ne'ebé hanesan ho ema hotu ka ema balu domina prosesu ne'e? Feto sira ko'alia ka lae?
2c,Partisipante grupu fokus
p69,"Planu didi'ak se mak sei konvida ba reuniaun grupu fokus. Rekomenda atu identifika individu 10-12 atu asegura katak medida ne'e bele jere, hodi permite reprezentasaun adekuadu husi perspetiva oin-oin. Iha mós reprezentante husi grupu parte-interesada oin-oin no setór komunidade (haree ezemplu husi tipu parte-interesada sira iha seksaun iha leten). Bainhira hili partisipante sira, konta sira-nia koñesimentu no papél iha komunidade. Konvida ema atu hatene liu tan kona-ba peska no komunidade, hanesan peskadór tempu-tomak duke peskadór recreativu dala ruma, sei fornese informasaun ne'ebé forte no loloos liu. Identifika no konvida ema ne'ebé hetan respeitu di'ak iha komunidade ajuda hametin konfiansa."
2d,Diskusaun lojístika no metodolojia
p70,"Dadus bele kaptura iha formuláriu Kobo ""Suku Profiling Komunidade"". Maske nune'e, fasil liu ba ema ne'ebé halo nota atu kaer dadus liu husi nota eskrita atu nune'e fasil liu atu kaptura nuansa no informasaun ne'ebé mosu husi diskusaun grupu, hanesan resposta diferente ba respondente ida-idak."
p71,"Se informasaun ne'e halibur hodi foti nota. Hafoin enkontru grupu fokus remata tiha, resposta sira-ne'e tenke tama iha formuláriu Kobo ""Suku Profiling Komunidade nian""."
p72,Enkoraza membru grupu hotu-hotu atu ko'alia tanba sira reprezenta mistura idade no pozisaun sosiál ne'ebé bele iha esperiénsia diferente kona-ba peska.
p73,"Pergunta ida-idak ba grupu no hein voluntáriu sira atu hatán mak aprosimasaun ida atu lidera diskusaun. Maske nune'e, oinsá fasilitadór husu resposta bele tulun atu kontinua interesante diskusaun no mós atu asegura katak lian hotu-hotu rona no partisipante vokál sira bele partisipa. Antes hahú grupu fokus, hanoin to'ok oinsá mak ita hakarak hili resposta ba pergunta ida-idak ne'ebé planeia ona."
2d.1,Forum nakloke - Ema hotu bele hatán ba pergunta no ko'alia.
2d.2,"Konvite ba partisipante espesífiku sira - Ida ne'e bele ajuda asegura katak partisipante vokál sira ladún hetan oportunidade atu ko'alia. Ida-ne'e bele uza iha diskusaun laran bainhira fasilitadór iha sentidu ida-ne'ebé partisipante sira bele hetan benefísiu husi konvite. Alternativamente, fasilitadór ida bele uza tékniku ida-ne'e bainhira sira hatene katak partisipante ida iha koñesimentu ka informasaun importante relasiona ho pergunta ruma."
2d.3,"Resposta lalais - Ba iha sirkulu ida no ema ida-idak fahe sira-nia opiniaun ba pergunta ne'e ho badak. Ida ne'e bele efetivu hodi vota ba audensia tanba envolve ema hotu. Maibé, asegura katak bele komunika ho klaru no aplika tempu limitadu ka métodu ida-ne'e bele hapara tempu diskusaun ne'ebé barak liu."
2d.4,Votasaun - halo levantamentu ba audiénsia sira hodi husu pergunta ida no ema foti sira-nia liman tuir opsaun resposta ne'ebé diferente. Ida-ne'e bele halo nakloke ka anónimu ho matan taka ka ho ema hakerek sira-nia resposta iha surat-tahan ne'ebé tuir mai halibur tiha.
2d.5,"Grupu - Fahe grupu ba grupu ki'ik ne'ebé diskute no hato'o relatóriu ba grupu prinsipál. Teknika ida-ne'e ajuda liu-liu grupu boot sira bainhira la iha tempu ne'ebé sufisiente ba membru grupu hotu atu partisipa iha forum grupu kompletu. Iha situasaun ida-ne'e, asegura katak grupu ida-idak iha parte-interesada sira ne'ebé reprezenta opiniaun no perspetiva oin-oin."
p74,Pergunta Grupu Foku
p75,"Hahú grupu fokus liu husi introdús ita-nia an rasik, projetu, no objetivu husi enkontru ne'e. Tuirmai, haruka ema hotu iha kuartu laran atu introdús sira-nia an. Planu métodu di'ak liu ba kada pergunta atu hili no halibur resposta antes (haree seksaun iha leten ba ideia sira). Favór haree dokumentu Peskiza Profiling Komunidade nian atu hetan lista kompletu kona-ba pergunta grupu fokus atu la'o liu."
p76,Rekursu Fasilitasaun (bele hetan iha Ingles)
